列01,列02,列03,列04,列05,列06,列07,列08,列09,列10,列11,列12,列13,列14,列15,列16,列17,列18,列19
2aac462d,3C4ACD,41.4368,34.2047,288,38000,411,3211,F-LTAD4,B744,D-ABVM,1643679055,DXB,FRA,LH631,0,0,DLH631,0
2aac4630,0D0867,20.9519,-101.274,185,10825,236,1617,F-MMCY1,A320,XA-VLF,1643679053,MDW,BJX,Y4943,0,-1088,VOI943,0
2aac4634,A01880,41.1151,-91.3339,68,35000,498,6751,F-KCOU2,A321,N105NN,1643679055,LAX,BOS,AA382,0,0,AAL382,0
2aac4639,E49759,-23.4768,-46.6216,105,4950,212,6366,F-SBGR3,B734,PS-TLA,1643679053,MAO,GRU,L19884,0,-448,TTL9884,0
2aac467d,70605A,25.4538,85.6284,108,35000,611,1425,F-VNBP1,B77W,9K-AOH,1643679053,KWI,DAC,KU281,0,0,KAC281,0
2aac4685,4D0106,37.0221,112.6464,165,20700,424,0047,T-F6M,B748,LX-VCF,1643679052,OVB,,CV4481,0,0,CLX4481,0
2aac468a,0D0B90,19.4367,-99.0791,244,0,0,1321,F-MMMX8,A20N,XA-VIA,1643679052,LAS,MEX,VB113,1,0,VIV0113,0
2aac469b,899040,8.132,105.6012,239,40000,469,2625,F-VDPP1,B77W,B-16736,1643679055,TPE,PEN,BR6005,0,0,EVA6005,0
2aac46b1,ADA336,32.8951,-97.0371,351,0,0,3507,F-KDFW2,A321,N978UY,1643679040,PDX,DFW,AA2496,1,0,AAL2496,0
2aac46b3,A781D7,26.9607,-81.6674,308,21625,367,4521,F-KHWO1,A320,N583JB,1643679054,SJU,TPA,B62752,0,-2304,JBU2752,0
2aac46b4,ADB40A,39.9698,-95.3237,158,10875,294,2426,F-KFBY1,BE20,N982RA,1643679053,MIQ,JCI,,0,-1024,N982RA,0
2aac46b5,A33CA9,26.5652,-81.5515,234,3750,225,1034,F-KMKY1,BCS3,N3077J,1643679054,BOS,RSW,B61865,0,0,JBU1865,0
2aac46dc,A3472F,40.7689,-73.8585,132,0,1,3112,T-KTEB43,BCS3,N310DU,1643679052,ORD,LGA,DL456,1,0,DAL456,0
2aac46e0,A73D45,40.6388,-84.1397,111,39000,512,1525,F-KAXV1,B738,N566AS,1643679053,SEA,DCA,AS2,0,0,ASA2,0
2aac46e5,A44A61,43.7173,-102.5385,307,38000,392,1350,F-KRCA2,B738,N376DA,1643679054,TPA,SEA,DL1522,0,0,DAL1522,0
2aac46f6,A4F601,29.1333,-81.0149,345,5225,95,1200,F-KDAB1,C172,N419EP,1643679055,QQB,,,0,0,EPI544,0
2aac473a,40665B,51.2113,-0.7661,96,1625,182,0024,F-EGLF1,DA42,G-COBS,1643679054,QLA,,CLB814,0,0,CLB814,0
2aac4744,502D0C,38.7364,45.7718,131,39000,480,5467,F-UBBF1,BCS3,YL-AAP,1643679052,RIX,DXB,BT791,0,0,BTI791,0
2aac4776,AA92F9,40.1613,-103.6903,261,39975,425,3664,F-KBJC1,B772,N78002,1643679053,EWR,SFO,UA1586,0,64,UAL1586,0
2aac4794,346605,32.2183,-8.279,23,38000,475,6444,F-LXGB6,A332,EC-NNH,1643679055,DSS,MAD,IB3329,0,0,IBE3329,0
2aac479c,50807B,36.127,13.1097,258,19975,211,2043,F-LMMG1,AN12,UR-11316,1643679052,BOJ,GHA,M96549,0,192,MSI6549,0
2aac47a4,ACE785,42.2145,-87.1878,87,37000,503,3342,F-KLOT1,A21N,N930VA,1643679054,SFO,JFK,AS277,0,0,ASA277,0
2aac47a5,C04FF7,43.3507,-120.7915,347,38000,419,7251,F-KRDM2,B38M,C-GEHI,1643679052,SJD,YVR,AC979,0,0,ACA979,0
2aac47a9,4242EE,61.2008,66.1403,275,36000,414,3307,F-USHS3,B738,VP-BZB,1643679053,IKT,SVO,SU1441,0,0,AFL1441,0
2aac47b3,781273,59.2534,44.2794,97,37000,473,0147,F-ULKK1,B744,B-1340,1643679055,AMS,,Y87414,0,0,YZR7414,0
2aac47e6,A0E607,32.9074,-97.0376,191,0,1,6713,F-KDFW2,A321,N157UW,1643679053,LAS,DFW,AA1599,1,0,AAL1599,0
2aac47f5,A2090D,42.0051,-88.2245,96,3900,225,1444,F-KMDW2,A320,N230FR,1643679053,DEN,ORD,F9410,0,0,FFT410,0
2aac4852,39CF01,51.4719,-52.0331,67,41000,567,2015,F-CYYT5,A359,F-HTYB,1643679053,ATL,CDG,AF681,0,64,AFR681,0
2aac4856,A11BA0,38.6371,-100.4757,257,40000,428,6614,F-KCOS2,B78X,N17002,1643679054,EWR,LAX,UA2674,0,0,UAL2674,0
2aac487b,06A096,26.3899,52.8415,225,20000,301,5123,F-OTHH1,A320,A7-AHO,1643679054,PEW,DOH,QR601,0,0,QTR72H,0
2aac48aa,ADC17B,33.7091,-95.4543,248,29200,478,1647,F-KDFW2,A321,N986AN,1643679055,PHL,DFW,AA2533,0,-704,AAL2533,0
2aac48b0,400775,32.6646,32.117,318,40000,434,4140,T-MLAT1,B772,G-VIIX,1643679056,DOH,LGW,BA2032,0,0,BAW2032,0
2aac48b1,89639D,40.5569,35.5827,106,39000,544,5251,F-LTFH1,A388,A6-EOD,1643679055,LHR,DXB,EK6,0,64,UAE6,0
2aac48e0,,39.228,-97.9711,94,9250,206,1406,F-KMCK1,SR22,,1643679053,,,,0,0,SR22,0
2aac48eb,780D92,47.9335,102.9549,314,36100,455,7401,F-ZMUB3,A332,B-5968,1643679055,PVG,FRA,MU7219,0,-128,CES7219,0
2aac48ed,A448FA,40.8905,-100.2667,250,38000,367,3061,F-KMCK1,B39M,N37518,1643679053,EWR,DEN,UA483,0,-64,UAL483,0
2aac48f3,4244B4,55.8791,98.8807,267,34000,426,0201,F-UNKL3,A21N,VQ-BDV,1643679053,KHV,OVB,S75238,0,0,SBI5238,0
2aac48f9,A03618,35.2218,-99.529,264,38000,387,7172,F-KCLK1,B738,N11206,1643679052,EWR,SAN,UA551,0,0,UAL551,0
2aac4918,C2B5CB,47.0514,-81.4963,135,29000,403,1343,F-CYSB2,C30J,130617,1643679053,,,,0,64,CFC2568,0
2aac4928,A5B764,45.5422,-115.8736,270,36025,390,1354,F-KBOI5,B739,N468AS,1643679052,ORD,PDX,AS669,0,0,ASA669,0
2aac4943,A33272,42.4921,-70.9433,200,2225,174,6167,F-KOWD1,A20N,N305FR,1643679053,CUN,BOS,F956,0,-1024,FFT56,0
2aac4944,A94B72,33.8988,-111.381,226,13475,318,6535,F-KPRC5,B739,N69847,1643679052,ORD,PHX,UA1273,0,-1792,UAL1273,0
2aac494a,4CAB8A,45.2261,45.181,68,39000,539,0430,F-URWW5,B789,EI-XIN,1643679055,MXP,,NO131,0,64,NOS131,0
2aac494b,C06A7D,39.5878,-84.8596,53,35025,437,3236,F-KCMH1,A21N,C-GOIM,1643679054,PVR,YUL,TS107,0,0,TSC107,0
2aac495a,ABBD69,33.9641,-117.3005,47,9500,163,0263,F-KHMT1,PA24,N8558P,1643679053,SNA,,,0,-128,N8558P,0
2aac4999,06A090,21.3792,59.8977,299,34000,429,4727,F-OODQ2,A321,A7-AID,1643679056,CMB,DOH,QR659,0,0,QTR87J,0
2aac49a5,0D0890,19.4346,-99.0817,25,0,0,4440,F-MMMX8,E190,XA-GAR,1643679050,NLD,MEX,AM2971,1,0,SLI2971,0
2aac49cc,E4941B,-2.897,-35.9775,24,37000,454,4420,F-SBMS3,A339,PR-ANY,1643679054,VCP,LIS,AD8750,0,0,AZU8750,0
2aac49db,A5DEE3,37.4963,-101.223,252,38000,395,3051,F-KSLN1,B739,N478AS,1643679054,JFK,SAN,AS393,0,0,ASA393,0
2aac4a00,8963E2,24.0424,57.1925,307,33200,438,4750,F-OOMS3,B77W,A6-EPS,1643679053,MAA,DXB,EK543,0,-1408,UAE543,0
2aac4a1e,C01EF7,40.9554,-78.5459,356,36225,399,6767,F-CYTZ2,B738,C-FLSW,1643679053,MBJ,YYZ,WG733,0,-960,SWG733,0
2aac4a42,A129DC,38.9741,-109.1496,315,32000,381,4153,F-KGUC3,A321,N174US,1643679054,CLT,SLC,AA508,0,-64,AAL508,0
2aac4a56,A2FCF2,46.7708,-101.5815,279,36000,393,1171,F-KPIR1,B739,N292AK,1643679055,EWR,SEA,AS8,0,0,ASA8,0
2aac4a58,4242C0,40.3717,71.7457,183,1675,139,2412,F-UTKN1,A320,VP-BOJ,1643679052,KRR,FEG,S76521,0,-704,SBI6521,0
2aac4a5a,A02C49,55.0636,-163.0983,271,20000,250,0000,T-F5M,B190,N110AX,1643679042,ANC,SDP,KO69,0,0,AER69,0
2aac4a5b,A837A6,38.3068,-80.2652,117,36425,480,4124,F-KDAN1,B739,N62895,1643679053,PHX,IAD,UA1406,0,-1024,UAL1406,0
2aac4a73,AAA107,36.2375,-77.5455,8,27000,419,6636,F-7NC21,B737,N784SW,1643679055,SJU,BWI,WN1200,0,0,SWA1200,0
2aac4a7b,A0CF5E,54.7078,-165.446,232,19600,283,4637,F-PADU1,DH8C,N151RA,1643679052,ANC,DUT,7H6,0,-1280,RVF006,0
2aac4a89,A35D73,44.8552,-92.2239,277,26250,359,2117,F-KSTP1,A321,N316DN,1643679053,DCA,MSP,DL2244,0,-2624,DAL2244,0
2aac4a8a,A1A3CC,38.049,-75.4688,25,33000,452,1404,F-KOBI1,A21N,N2044J,1643679053,FLL,JFK,B6402,0,0,JBU402,0
2aac4a8e,C045F1,40.9314,-101.8998,312,38000,387,6172,F-KGLD2,B38M,C-GAMQ,1643679054,CUN,YVR,WS2057,0,0,WJA2057,0
2aac4a9a,A7101E,32.0371,-107.3113,275,34000,378,1623,F-MMCU5,A321,N554UW,1643679053,MCO,PHX,AA2226,0,0,AAL2226,0
2aac4aa2,A03CE6,41.9736,-87.9,278,0,0,5633,F-KORD1,A320,N114UW,1643679053,DCA,ORD,AA1486,1,0,AAL1486,0
2aac4ab0,,38.0907,-89.728,325,7950,237,2357,F-KMWA2,PC12,,1643679053,,,,0,0,PC12,0
2aac4ac4,A95881,22.296,115.822,268,28525,366,7136,T-VHST60,B744,N701CK,1643679051,ICN,HKG,K4856,0,-1728,CKS856,0
2aac4ac5,A0E250,36.0512,-114.7866,299,6500,224,6204,F-KVGT1,A321,N156UW,1643679055,DFW,LAS,AA1996,0,-64,AAL1996,0
2aac4ae0,4078DD,31.8941,32.9983,326,38000,438,0562,T-LLBG144,A35K,G-XWBF,1643679052,DXB,LHR,BA106,0,0,BAW106,0
2aac4afa,A2B26B,27.2426,-79.8127,204,9900,304,7461,F-KMLB3,E190,N273JB,1643679055,JFK,PBI,B6453,0,-1408,JBU453,0
2aac4b02,A76F66,34.6332,-113.0657,261,30000,413,6223,F-KPRC5,B753,N57862,1643679053,ORD,LAX,UA2153,0,0,UAL2153,0
2aac4b04,A9B06F,41.6455,-100.604,272,36000,374,1665,F-KSTK1,B752,N723TW,1643679054,JFK,SLC,DL667,0,64,DAL667,0
2aac4b1b,A1FF46,27.9789,-82.5387,39,0,0,0000,F-KTPA2,A320,N228FR,1643679055,ATL,TPA,F92551,1,0,FFT2551,0
2aac4b24,A27F3A,23.1062,-71.085,127,41000,494,1762,F-MDPP1,C68A,N260CL,1643679039,ICT,SJU,,0,0,N260CL,0
2aac4b52,A771AF,33.2688,-97.3973,93,7100,275,3262,F-KDFW2,A321,N579UW,1643679055,SFO,DFW,AA2023,0,-1280,AAL2023,0
2aac4b7b,8940A3,41.8812,32.4255,287,36000,362,4454,F-LBWN2,A21N,A9C-NC,1643679055,BAH,FRA,GF17,0,0,GFA017,0
2aac4b85,AC64CF,39.7362,-104.4811,326,13200,304,2142,F-KLIC3,A319,N898UA,1643679055,SRQ,DEN,UA2223,0,0,UAL2223,0
2aac4b86,A6C6C8,43.9584,-116.3738,314,36000,384,2550,F-KBOI5,B738,N536AS,1643679052,IAH,SEA,AS698,0,64,ASA698,0
2aac4b8b,06A30B,22.1899,92.8468,274,34000,409,5140,F-VGEG2,B77L,A7-BFX,1643679053,HKG,DOH,QR8023,0,0,QTR8023,0
2aac4b91,A6D9C3,32.0573,-107.5719,275,36025,372,6646,F-KDMN1,A321,N540UW,1643679053,TPA,PHX,AA1402,0,0,AAL1402,0
2aac4be3,AA728B,42.4826,-83.8443,79,37550,540,6714,F-KRCR2,C750,N772XJ,1643679054,VNY,YYZ,XOJ772,0,-768,XOJ772,0
2aac4c20,4B18FC,40.3697,36.5286,298,38000,402,3205,F-LTFH1,A343,HB-JMA,1643679055,DXB,ZRH,LX243,0,0,SWR243,0
2aac4c2d,A92145,40.6418,-73.7643,300,0,14,2613,F-KJFK1,B752,N688DL,1643679055,STT,JFK,DL635,1,0,DAL635,0
2aac4c4a,A3862C,38.3684,-119.2129,277,16375,152,7314,F-KRNO2,S22T,N326SB,1643679055,FMN,,,0,-64,N326SB,0
2aac4c76,A500D4,28.6191,-81.7885,170,26925,220,3177,F-KORL2,C421,N421RG,1643679054,,,,0,0,N421RG,0
2aac4c77,A2C336,27.4756,-93.0139,214,40000,401,2753,F-KGLS2,B737,N27722,1643679052,EWR,MEX,UA1065,0,0,UAL1065,0
2aac4ca0,A24C99,38.7618,-99.7093,255,40000,389,1654,F-KGUC3,B737,N24715,1643679054,EWR,SNA,UA2245,0,-64,UAL2245,0
2aac4cba,,39.769,-25.7465,238,28650,473,4263,F-LPGR1,A319,,1643679053,,,,0,-2048,A319,0
2aac4ce9,A8A43A,37.5182,-77.3505,21,35000,452,1340,F-KRIC4,A320,N656NK,1643679054,MIA,EWR,NK3119,0,0,NKS3119,0
2aac4cf6,4D0118,56.0891,45.4944,92,35000,498,3501,F-UWKD4,B748,LX-VCN,1643679052,LUX,ICN,CV7961,0,64,CLX7961,0
2aac4d0d,800CD5,11.9141,77.7112,139,32350,390,1711,F-VOTR1,B738,VT-GHI,1643679054,SHJ,TRZ,IX620,0,-1152,AXB620,0
2aac4d1e,44CCC5,31.474,-7.9346,31,38000,512,6435,F-GMMI1,A333,OO-SFE,1643679054,ROB,BRU,SN1325,0,-64,BEL1325,0
2aac4d21,86E822,51.7997,-111.0365,321,34000,464,2426,F-CYXE1,B789,JA876A,1643679054,IAH,NRT,NH173,0,-64,ANA173,0
2aac4d23,4BA954,29.707,48.5932,153,35000,460,7226,F-OKBK6,B77W,TC-JJT,1643679053,IST,DXB,TK762,0,0,THY9VN,0
2aac4d24,A4E876,25.0417,-97.3214,190,38025,431,7214,F-KBRO3,A320,N415UA,1643679054,IAD,MEX,UA1566,0,0,UAL1566,0
2aac4d32,ADECA5,32.9046,-97.0352,275,0,0,3204,F-KDFW2,A321,N997AA,1643679046,SMF,DFW,AA2078,1,0,AAL2078,0
2aac4d39,710112,55.1042,-43.4435,63,35000,570,0000,F-SAT6,B77W,HZ-AK40,1643679048,IAD,RUH,SV38,0,0,SVA038,0
2aac4d3c,A2D9EA,29.2498,-81.9449,170,35000,463,3657,F-KORL2,E190,N283JB,1643679054,HPN,RSW,B61051,0,0,JBU1051,0
2aac4d40,A198ED,27.1145,-80.6531,339,21250,395,4616,F-KAPF1,A21N,N2016J,1643679055,SJO,MCO,B61696,0,-896,JBU1696,0
2aac4d46,4BB150,39.7497,37.0019,295,40000,424,0532,F-LTAJ2,B77L,TC-LJP,1643679055,DWC,ISL,TK6370,0,0,THY6370,0
2aac4d86,A5E48A,22.3248,-69.9842,127,41000,504,6502,F-MDPP1,B737,N479WN,1643679053,BWI,SJU,WN1426,0,0,SWA1426,0
2aac4d9c,424313,58.976,77.5739,104,35000,464,2734,F-UNSS3,B738,VP-BGI,1643679054,SVO,KJA,SU1482,0,0,AFL1482,0
2aac4da4,A04641,39.3316,-88.5439,253,36000,408,1432,F-KCMI2,A321,N117AN,1643679053,BOS,LAX,AA584,0,0,AAL584,0
2aac4db2,42459D,57.4908,99.6141,118,35000,454,5534,F-UIBS3,A319,VQ-BTP,1643679054,SVX,HTA,U6624,0,0,SVR624,0
2aac4de0,780BB6,57.4775,-115.5981,295,30000,442,6510,F-CYZH3,B77L,B-2095,1643679052,ORD,PVG,CAO8412,0,0,CAO8412,0
2aac4de9,AA0EC7,41.1923,-76.2305,109,20300,392,6740,F-KBGM2,E75L,N747YX,1643679054,CMH,EWR,UA3544,0,-1728,RPA3544,0
2aac4dea,A94BFC,38.98,-103.7226,312,26575,387,6136,F-KLAA2,B739,N69885,1643679054,CUN,DEN,UA1136,0,-2240,UAL1136,0
2aac4deb,AC91D4,32.5831,-95.2673,236,36000,444,1664,F-KDFW2,B738,N909NN,1643679055,JFK,AUS,AA2772,0,0,AAL2772,0
2aac4dec,A65598,33.9384,-118.4033,81,0,25,7250,F-KSMO2,E75L,N507SY,1643679036,XNA,LAX,AA6256,1,0,SKW6256,0
2aac4df6,06A0C2,15.6246,32.6225,228,39975,427,2630,F-HSSS2,B788,A7-BDD,1643679054,DOH,LOS,QR1407,0,0,QTR1407,0
